Sample ID,Source,State,Appearance,Form,Colour,Mislabelled
1,Sushi bar,raw,plain,fillet,light,0
2,Sushi bar,raw,plain,fillet,red,0
3,Sushi bar,raw,plain,fillet,light,0
4,Sushi bar,raw,plain,fillet,light,0
5,Sushi bar,raw,plain,fillet,red,0
6,Sushi bar,raw,plain,fillet,light,0
7,Sushi bar,raw,plain,fillet,light,0
8,Sushi bar,raw,plain,fillet,red,0
9,Sushi bar,raw,plain,fillet,red,0
10,Sushi bar,raw,plain,fillet,light,NA
11,Sushi bar,raw,modified,fillet,light,0
12,Sushi bar,raw,plain,fillet,light,1
13,Sushi bar,raw,plain,fillet,light,0
14,Sushi bar,raw,plain,fillet,red,0
15,Sushi bar,raw,plain,fillet,light,0
16,Sushi bar,raw,plain,fillet,light,0
17,Sushi bar,raw,plain,fillet,red,0
18,Sushi bar,raw,plain,fillet,light,0
19,Sushi bar,raw,plain,fillet,light,0
20,Sushi bar,raw,plain,fillet,light,1
21,Sushi bar,raw,plain,fillet,red,0
22,Sushi bar,raw,plain,fillet,light,0
23,Sushi bar,raw,modified,fillet,light,0
24,Sushi bar,raw,plain,fillet,red,0
25,Sushi bar,raw,plain,fillet,red,1
26,Sushi bar,raw,modified,fillet,light,0
27,Sushi bar,raw,plain,fillet,light,0
28,Sushi bar,raw,plain,fillet,red,0
29,Sushi bar,raw,plain,fillet,light,0
30,Sushi bar,raw,plain,fillet,red,0
31,Sushi bar,raw,modified,fillet,light,0
32,Sushi bar,raw,plain,fillet,red,0
33,Sushi bar,raw,plain,fillet,light,0
34,Sushi bar,raw,modified,fillet,light,0
35,Sushi bar,raw,plain,fillet,light,0
36,Sushi bar,raw,modified,fillet,light,0
37,Sushi bar,raw,plain,fillet,red,0
38,Sushi bar,raw,plain,fillet,red,0
39,Sushi bar,raw,modified,fillet,light,0
40,Sushi bar,raw,plain,fillet,light,0
41,Sushi bar,raw,plain,fillet,red,0
42,Sushi bar,raw,modified,fillet,light,0
43,Sushi bar,raw,plain,fillet,light,0
44,Sushi bar,raw,plain,fillet,light,0
45,Sushi bar,raw,plain,fillet,light,1
46,Sushi bar,raw,modified,fillet,light,0
47,Sushi bar,raw,plain,fillet,red,0
48,Sushi bar,raw,plain,fillet,light,0
49,Sushi bar,raw,plain,fillet,light,1
50,Sushi bar,raw,modified,fillet,light,0
51,Sushi bar,raw,plain,fillet,red,0
52,Sushi bar,raw,plain,fillet,light,0
53,Sushi bar,raw,plain,fillet,light,0
54,Sushi bar,raw,plain,fillet,red,0
55,Sushi bar,raw,modified,fillet,light,0
56,Sushi bar,raw,plain,fillet,light,1
57,Sushi bar,raw,plain,fillet,light,0
58,Sushi bar,raw,plain,fillet,red,0
59,Sushi bar,raw,modified,fillet,light,0
60,Sushi bar,raw,plain,fillet,light,1
61,Sushi bar,raw,plain,fillet,light,0
62,Sushi bar,raw,plain,fillet,red,0
63,Sushi bar,raw,modified,fillet,light,0
64,Sushi bar,raw,plain,fillet,light,0
65,Sushi bar,raw,plain,fillet,red,0
66,Sushi bar,raw,modified,fillet,light,0
67,Sushi bar,raw,plain,fillet,light,1
68,Sushi bar,raw,plain,fillet,light,0
69,Sushi bar,raw,plain,fillet,light,1
70,Sushi bar,raw,plain,fillet,red,0
71,Sushi bar,raw,plain,fillet,light,1
72,Sushi bar,raw,plain,fillet,light,0
73,Sushi bar,raw,plain,fillet,light,1
74,Sushi bar,raw,plain,fillet,light,1
75,Sushi bar,raw,plain,fillet,red,0
76,Sushi bar,raw,plain,fillet,light,1
77,Sushi bar,raw,plain,fillet,red,0
78,Sushi bar,raw,plain,fillet,light,1
79,Sushi bar,raw,plain,fillet,red,0
80,Sushi bar,raw,plain,fillet,light,1
81,Sushi bar,raw,plain,fillet,light,1
82,Sushi bar,raw,plain,fillet,red,0
83,Sushi bar,raw,plain,fillet,light,1
87,Sushi bar,raw,plain,fillet,red,0
88,Sushi bar,raw,plain,fillet,red,0
89,Sushi bar,raw,plain,fillet,red,0
90,Sushi bar,raw,plain,fillet,light,0
91,Sushi bar,raw,plain,fillet,light,0
92,Sushi bar,raw,plain,fillet,light,0
93,Sushi bar,raw,plain,fillet,red,0
94,Sushi bar,raw,plain,fillet,red,0
95,Sushi bar,raw,plain,fillet,light,1
96,Sushi bar,raw,plain,fillet,light,1
97,Sushi bar,raw,plain,fillet,light,0
98,Sushi bar,raw,plain,fillet,red,0
99,Sushi bar,raw,plain,fillet,light,1
100,Sushi bar,raw,plain,fillet,red,0
102,Sushi bar,raw,plain,fillet,light,1
103,Sushi bar,raw,plain,fillet,red,0
104,Sushi bar,raw,plain,fillet,light,1
105,Sushi bar,raw,plain,fillet,light,0
106,Sushi bar,raw,plain,fillet,light,0
107,Sushi bar,raw,plain,fillet,red,0
108,Sushi bar,raw,plain,fillet,red,0
109,Sushi bar,raw,plain,fillet,light,1
110,Sushi bar,raw,plain,fillet,red,0
111,Sushi bar,raw,plain,fillet,light,1
112,Sushi bar,cooked,modified,fillet,light,0
R1,Restaurant,cooked,modified,fillet,light,0
R2,Restaurant,cooked,modified,fillet,red,NA
R3,Restaurant,raw,plain,fillet,red,0
R4,Restaurant,cooked,modified,fillet,light,0
R5,Restaurant,cooked,modified,fillet,light,0
R6,Restaurant,cooked,modified,fillet,light,1
R7,Restaurant,cooked,modified,fillet,light,0
R8,Restaurant,cooked,modified,fillet,red,0
R9,Restaurant,cooked,modified,chunk,light,0
R10,Restaurant,cooked,modified,fillet,light,0
R11,Restaurant,cooked,modified,fillet,light,1
R12,Restaurant,cooked,modified,fillet,light,0
R13,Restaurant,cooked,modified,fillet,red,0
R14,Restaurant,cooked,modified,fillet,light,0
R15,Restaurant,cooked,modified,fillet,red,0
R16,Restaurant,cooked,modified,fillet,light,0
R17,Restaurant,cooked,modified,chunk,light,1
R18,Restaurant,raw,modified,chunk,red,0
R19,Restaurant,cooked,modified,fillet,red,0
R20,Restaurant,cooked,modified,fillet,light,1
R21,Restaurant,cooked,modified,fillet,red,1
R22,Restaurant,cooked,modified,fillet,light,0
R23,Restaurant,cooked,modified,fillet,red,1
R24,Restaurant,cooked,modified,fillet,red,0
R25,Restaurant,cooked,modified,fillet,light,1
R26,Restaurant,cooked,modified,fillet,light,0
R27,Restaurant,cooked,modified,fillet,light,0
R28,Restaurant,raw,modified,fillet,red,0
R29,Restaurant,cooked,modified,chunk,light,0
R30,Restaurant,cooked,modified,fillet,light,1
R31,Restaurant,raw,modified,fillet,red,0
R32,Restaurant,cooked,modified,chunk,light,0
R33,Restaurant,cooked,modified,fillet,light,0
R34,Restaurant,cooked,modified,fillet,light,0
R35,Restaurant,cooked,modified,fillet,light,1
R36,Restaurant,cooked,modified,fillet,red,0
R37,Restaurant,cooked,modified,chunk,light,0
R38,Restaurant,cooked,modified,fillet,light,0
R39,Restaurant,cooked,modified,fillet,red,0
R40,Restaurant,cooked,modified,fillet,light,0
R41,Restaurant,raw,modified,fillet,red,0
R42,Restaurant,raw,modified,fillet,red,1
R43,Restaurant,raw,modified,fillet,light,0
R44,Restaurant,cooked,modified,fillet,light,1
R45,Restaurant,cooked,modified,fillet,light,1
R46,Restaurant,cooked,modified,fillet,light,1
R47,Restaurant,cooked,modified,fillet,light,1
R48,Restaurant,cooked,modified,fillet,light,0
R49,Restaurant,cooked,modified,fillet,light,1
R50,Restaurant,cooked,modified,fillet,light,1
R51,Restaurant,cooked,modified,fillet,light,NA
R52,Restaurant,cooked,modified,fillet,light,1
R53,Restaurant,cooked,modified,fillet,light,1
R55,Restaurant,raw,modified,chunk,red,0
R56,Restaurant,raw,modified,chunk,red,0
R57,Restaurant,cooked,modified,fillet,red,0
R61,Restaurant,cooked,modified,fillet,light,0
R62,Restaurant,cooked,modified,fillet,red,0
R63,Restaurant,cooked,modified,fillet,light,0
R64,Restaurant,cooked,modified,fillet,red,0
R65,Restaurant,cooked,modified,fillet,light,0
R66,Restaurant,raw,modified,chunk,red,0
R67,Restaurant,cooked,modified,fillet,light,0
R68,Restaurant,cooked,modified,fillet,light,0
R69,Restaurant,cooked,modified,fillet,light,0
R70,Restaurant,cooked,modified,fillet,red,0
R71,Restaurant,cooked,modified,fillet,light,0
R72,Restaurant,cooked,modified,fillet,light,0
R73,Restaurant,cooked,modified,fillet,light,0
R74,Restaurant,cooked,modified,fillet,red,0
R75,Restaurant,cooked,modified,fillet,light,0
R76,Restaurant,cooked,modified,fillet,light,1
R77,Restaurant,cooked,modified,fillet,red,1
R78,Restaurant,cooked,modified,fillet,red,0
R79,Restaurant,cooked,modified,fillet,light,0
R80,Restaurant,cooked,modified,fillet,light,1
R81,Restaurant,cooked,modified,fillet,light,1
R82,Restaurant,cooked,modified,fillet,light,0
R83,Restaurant,cooked,modified,fillet,red,0
R84,Restaurant,cooked,modified,fillet,light,1
R85,Restaurant,cooked,modified,fillet,light,0
R86,Restaurant,cooked,modified,fillet,light,1
R87,Restaurant,cooked,modified,fillet,light,0
R88,Restaurant,cooked,modified,fillet,light,0
G1,Grocery,raw,plain,fillet,light,0
G2,Grocery,raw,plain,fillet,red,0
G3,Grocery,raw,modified,chunk,red,0
G4,Grocery,raw,modified,fillet,red,0
G5,Grocery,raw,plain,fillet,red,0
G6,Grocery,raw,plain,fillet,red,0
G7,Grocery,raw,plain,fillet,light,0
G11,Grocery,cooked,modified,chunk,red,0
G12,Grocery,raw,plain,fillet,light,0
G18,Grocery,cooked,modified,chunk,red,0
G19,Grocery,cooked,modified,chunk,red,0
G20,Grocery,cooked,modified,chunk,red,0
G22,Grocery,cooked,modified,whole,light,0
G24,Grocery,cooked,modified,chunk,red,1
G26,Grocery,cooked,modified,chunk,red,0
G29,Grocery,cooked,modified,chunk,red,0
G30,Grocery,cooked,modified,chunk,red,1
G31,Grocery,raw,modified,chopped,red,0
G32,Grocery,cooked,modified,chunk,red,0
G33,Grocery,cooked,modified,chunk,red,0
G37,Grocery,raw,modified,chunk,red,0
G38,Grocery,raw,modified,chunk,red,0
G39,Grocery,raw,modified,fillet,red,0
G40,Grocery,raw,plain,fillet,red,0
G41,Grocery,raw,plain,fillet,light,1
G42,Grocery,raw,modified,fillet,light,1
G43,Grocery,raw,plain,fillet,light,0
G44,Grocery,raw,modified,fillet,red,0
G45,Grocery,raw,modified,fillet,light,0
G46,Grocery,raw,plain,fillet,light,0
G47,Grocery,raw,plain,whole,light,1
G48,Grocery,raw,modified,chopped,red,0
G49,Grocery,cooked,modified,chunk,red,0
G57,Grocery,raw,plain,fillet,light,0
G58,Grocery,raw,plain,fillet,light,1
G59,Grocery,raw,plain,fillet,red,0
G60,Grocery,raw,plain,fillet,light,0
G61,Grocery,raw,plain,fillet,light,0
G62,Grocery,raw,plain,fillet,red,0
G63,Grocery,cooked,modified,chunk,light,0
G64,Grocery,cooked,modified,chunk,red,0
G65,Grocery,raw,plain,fillet,light,1
G66,Grocery,raw,plain,fillet,red,0
G67,Grocery,raw,plain,fillet,light,1
G68,Grocery,raw,plain,fillet,red,0
G69,Grocery,raw,modified,chunk,light,0
G70,Grocery,raw,modified,chunk,light,0
G71,Grocery,raw,modified,chopped,red,1
G72,Grocery,raw,plain,whole,red,0
G73,Grocery,raw,plain,fillet,red,0
G74,Grocery,raw,plain,fillet,light,1
G75,Grocery,raw,plain,fillet,red,0
G76,Grocery,raw,plain,fillet,light,0
G77,Grocery,raw,modified,fillet,light,0
G78,Grocery,raw,plain,fillet,light,1
G79,Grocery,raw,plain,fillet,light,0
G80,Grocery,raw,modified,fillet,light,NA
G81,Grocery,raw,plain,fillet,light,0
G82,Grocery,raw,plain,fillet,light,1
G83,Grocery,raw,plain,fillet,red,0
G84,Grocery,raw,plain,fillet,red,0
G85,Grocery,raw,plain,fillet,light,0
G86,Grocery,raw,plain,whole,light,1
G87,Grocery,raw,plain,whole,light,1
G88,Grocery,raw,plain,fillet,light,0
G89,Grocery,raw,plain,fillet,light,0
G90,Grocery,raw,plain,whole,light,1
G91,Grocery,raw,plain,fillet,red,1
G92,Grocery,raw,plain,fillet,red,0
G93,Grocery,raw,plain,whole,light,1
G108,Grocery,raw,plain ,fillet,light,0
G109,Grocery,raw,plain ,fillet,red,0
G110,Grocery,raw,plain ,fillet,light,0
G111,Grocery,raw,plain ,fillet,light,0
G112,Grocery,raw,plain ,fillet,red,0
G113,Grocery,raw,plain ,fillet,light,0
G114,Grocery,raw,plain ,fillet,red,0
G115,Grocery,raw,plain ,fillet,light,0
G116,Grocery,raw,plain ,fillet,light,0
G117,Grocery,raw,plain ,fillet,light,0
G118,Grocery,raw,plain ,fillet,light,0
G119,Grocery,raw,plain ,fillet,light,1
G120,Grocery,raw,plain ,fillet,light,1
G121,Grocery,raw,plain ,fillet,light,0
G122,Grocery,raw,plain ,fillet,light,1
G123,Grocery,raw,plain ,fillet,red,0
G124,Grocery,raw,plain ,fillet,light,1
G125,Grocery,raw,plain ,fillet,light,0
G126,Grocery,raw,plain ,fillet,red,0
G127,Grocery,raw,plain ,fillet,light,0
G128,Grocery,raw,plain ,fillet,light,0
G129,Grocery,raw,plain ,fillet,light,1
G130,Grocery,raw,plain ,fillet,light,0